,Company Common Name,RIC,ISIN,Organization PermID,Exchange Name,TRBC Economic Sector Name,TRBC Business Sector Name,Delisted Quote Flag
205,JUMPtec Industrielle Computertechnik AG,JMPG.F^H02,DE0006090608,4295869757,Frankfurt Stock Exchange,Technology,Technology Equipment,True
206,Mobilcom Debitel AG,DBLG.F^E05,DE0005408009,4295869745,Frankfurt Stock Exchange,Technology,Telecommunications Services,True
207,Eyemaxx Real Estate AG,BTCGk.F^J23,DE000A0V9L94,5035746080,Frankfurt Stock Exchange,Real Estate,Real Estate,True
208,Enapter AG,BUFG.DE^E11,DE000A255G02,5073085259,Xetra,Energy,Renewable Energy,True
209,Vivanco Gruppe GmbH,VVAG.F^F06,DE0007602906,4295869765,Frankfurt Stock Exchange,Technology,Technology Equipment,True
210,Consors Discount Broker AG,CSOG.F^L02,DE0005427009,4295869789,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
211,Brain Force Financial Solutions AG,NSWG.F^F05,DE0006790009,4295869776,Frankfurt Stock Exchange,Technology,Software & IT Services,True
212,Edscha AG,EDHG.F^A04,DE0005633002,4295869769,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
213,TA Triumph-Adler GmbH,TWNG.F^J10,DE0007495004,5028044380,Frankfurt Stock Exchange,Technology,Technology Equipment,True
214,Odeon Film AG,ODEG.F^H21,DE0006853005,5001639014,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
215,Realtech AG,RTCG.F,DE0007008906,4295869779,Frankfurt Stock Exchange,Technology,Software & IT Services,False
216,Easy Software AG,ESYGn.F^B22,DE000A2YN991,4295869778,Frankfurt Stock Exchange,Technology,Software & IT Services,True
217,Prout AG,POUG.F^L04,DE0006943608,4295869825,Frankfurt Stock Exchange,Technology,Software & IT Services,True
218,Zapf Creation AG,ZPFKk.F^A15,DE000A2TSMZ8,4295869773,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
219,mwb Fairtrade Wertpapierhandelsbank AG,MWBG.F^F09,DE000A3EYLC7,4295869770,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
220,Ehlebracht AG,EHLG_p.F^I08,DE0005649131,4295868844,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
221,Brueder Mannesmann AG,BMMG.F,DE0005275507,4295869175,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,False
222,Ehlebracht AG,EHLG.F^I15,DE0005649107,4295868844,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Products,True
223,11 88 0 Solutions AG,TGTAk.F,DE000A41YFQ4,5070763143,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,False
224,Knorr Capital Partner AG,KCPGn.F^H08,DE0007686123,4295869800,Frankfurt Stock Exchange,Financials,Collective Investments,True
225,Heinkel AG,HKLG.F^I04,DE0006059009,4295869775,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
226,CPU Softwarehouse AG,CPUGk.DE^H09,DE000A0WMPN8,4295869772,Xetra,Technology,Software & IT Services,True
227,Software AG,SOWGn.F^B24,DE000A2GS401,4295869822,Frankfurt Stock Exchange,Technology,Software & IT Services,True
228,Tria IT Solutions AG,TSXGk.F^A15,DE000A0XYL53,4295869805,Frankfurt Stock Exchange,Technology,Software & IT Services,True
229,Gontard & MetallBank AG,GMBG.F^H14,DE0005890503,4295869802,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
230,Aap Implantate AG,AAQ1k.F,DE000A3H2101,4295869771,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,False
231,Deufol SE,DE1n.F^K15,DE000A40ET54,5038040999,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
232,SVC AG Schmidt Vogel Consulting,SVAG.F^J01,DE0007300303,5000029433,Frankfurt Stock Exchange,Technology,Software & IT Services,True
233,Elexis AG,EEXG.F^J14,DE0005085005,4295869794,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
234,Eurofins MWG Holding GmbH,NWUGk.F^H09,DE000A0EPUF5,4295869861,Frankfurt Stock Exchange,Healthcare,Pharmaceuticals & Medical Research,True
235,Sino German United AG,SGUG.F,DE000SGU8886,5050701258,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Food & Drug Retailing,False
236,Infor Business Solutions AG,IFRGn.F^D08,DE0006225402,4295869793,Frankfurt Stock Exchange,Technology,Software & IT Services,True
237,Dr Scheller Cosmetics AG,DOSG.F^H07,DE0007201303,4295869781,Frankfurt Stock Exchange,Consumer Non-Cyclicals,Personal & Household Products & Services,True
238,IDS Scheer AG,IDRG.F^L10,DE0006257009,4295869812,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
239,Erotik Abwicklungsgesellschaft AG,USE.F^F23,DE0007551400,5066538165,Frankfurt Stock Exchange,Consumer Cyclicals,Retailers,True
240,VCL Film + Medien AG,VFMG.DE^C04,DE0005098503,4295869829,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
241,Hamatech AG,DVDG.F^C09,DE0007309007,4295869801,Frankfurt Stock Exchange,Technology,Technology Equipment,True
242,Eckert & Ziegler SE,EUZG.F,DE0005659700,4295869808,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,False
243,Edel SE & Co KgaA,EDLG.F,DE0005649503,5068320502,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,False
244,artnet GmbH,AYDGn.F^H25,DE000A1K0375,4295869834,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
245,SUSS MicroTec SE,SMHNn.F,DE000A1K0235,5059054061,Frankfurt Stock Exchange,Technology,Technology Equipment,False
246,SHS Viveon AG,SHSGk.F^G24,DE000A0XFWK2,4295869815,Frankfurt Stock Exchange,Technology,Software & IT Services,True
247,Koehler & Krenzer Fashion AG,KKFG.DE^E11,DE0006303407,4295869806,Xetra,Consumer Cyclicals,Cyclical Consumer Products,True
248,Ahag Wertpapierhandelsbank AG,AHHG.DE^G10,DE0005013304,4295869880,Xetra,Financials,Banking & Investment Services,True
249,Kleindienst Datentechnik AG,KLDG.F^I05,DE0006290208,4295869830,Frankfurt Stock Exchange,Technology,Software & IT Services,True
250,Alzchem Group AG,SFPG.F^H04,DE0007271702,4295869849,Frankfurt Stock Exchange,Basic Materials,Chemicals,True
251,Abwicklungsgesellschaft Innovativ digitale Medien AG,IDLGk.F^I10,DE000A0L1NK1,4295869841,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
252,Isra Vision Parsytec AG,PAQG.F^F11,DE000A0JQ4J9,4295869845,Frankfurt Stock Exchange,Technology,Technology Equipment,True
253,Cor AG Financial Technologies,COCG.F^J09,DE0005083208,4295869725,Frankfurt Stock Exchange,Technology,Software & IT Services,True
254,Lobster Network Storage AG,LOBG.F^J07,DE0005082903,4295869510,Frankfurt Stock Exchange,Financials,Collective Investments,True
255,Netlife AG,NTFG.F^E11,DE0006763907,4295869838,Frankfurt Stock Exchange,Technology,Software & IT Services,True
256,Infront Financial Technology GmbH,VWDG.F^E14,DE0005204705,5001158672,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
257,Euromed AG,EUDG.F^D11,DE0005706808,5000331537,Frankfurt Stock Exchange,Healthcare,Healthcare Services & Equipment,True
258,PVA TePla AG,TPEG.F,DE0007461006,4295869846,Frankfurt Stock Exchange,Technology,Technology Equipment,False
259,Prodacta AG,POAG.F^K13,DE0007867301,4295869811,Frankfurt Stock Exchange,Technology,Software & IT Services,True
260,Your Family Entertainment AG,RTVG.F^I02,DE0007060204,4295869826,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
261,DB Mobility Logistics AG,SNSG.F^E03,DE0007264301,4295869121,Frankfurt Stock Exchange,Industrials,Transportation,True
262,Management Data Media Systems AG,MAFG.F^B13,DE0006621303,4295869851,Frankfurt Stock Exchange,Technology,Technology Equipment,True
263,GFT Technologies SE,GFTG.F,DE0005800601,5046660761,Frankfurt Stock Exchange,Technology,Software & IT Services,False
264,Azego AG,ACGG.F^D11,DE000A0PNL64,4295869850,Frankfurt Stock Exchange,Technology,Technology Equipment,True
265,Hansa Group AG,H4GG.F^H15,DE0007608606,5036753251,Frankfurt Stock Exchange,Basic Materials,Chemicals,True
266,SZ Testsysteme AG,SZTG.F^I07,DE0005067300,4295869819,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
267,Maxdata AG,MXAG.F^J09,DE0006581309,4295869817,Frankfurt Stock Exchange,Technology,Technology Equipment,True
268,Wuestenrot & Wuerttembergische AG,WUWGn.DE,DE0008051004,4295869874,Xetra,Financials,Insurance,False
269,HORNBACH Holding AG & Co KgaA,HBH.DE,DE0006083405,5046720998,Xetra,Consumer Cyclicals,Retailers,False
270,Babcock Borsig AG,BBXG.DE^G08,DE0006638349,4295869241,Xetra,Industrials,Industrial & Commercial Services,True
271,mediantis AG,BEHG.DE^E11,DE000A1DAG77,4295869835,Xetra,Technology,Software & IT Services,True
272,Ricardo de AG,RIDG.F^L09,DE0007020703,4295869855,Frankfurt Stock Exchange,Technology,Software & IT Services,True
273,Kabel New Media AG,KNWG.DE^E11,DE0006229503,4295869832,Xetra,Technology,Software & IT Services,True
274,Met@box AG,MBXG.DE^E11,DE0006921208,4295869858,Xetra,Technology,Technology Equipment,True
275,KPS AG,HACGk.DE^J09,DE000A0STZE9,4295869867,Xetra,Technology,Software & IT Services,True
276,First Sensor AG,SISG.DE,DE0007201907,4295869862,Xetra,Technology,Technology Equipment,False
277,Foris AG,FRSG.DE,DE0005775803,5000437649,Xetra,Financials,Banking & Investment Services,False
278,PWO AG,PWO.DE,DE0006968001,4295868713,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,False
279,Bechtle Managed Services AG,PSBG.DE^H08,DE0006967607,4295869857,Xetra,Technology,Software & IT Services,True
280,Generali Deutschland Holding AG (Pre-Merger),AMBGn.F^H99,DE0008400003,4295869970,Frankfurt Stock Exchange,Financials,Insurance,True
281,P&I Personal & Informatik AG,PUIG.DE^J14,DE0006913403,4295869853,Xetra,Technology,Software & IT Services,True
282,Sleepz AG,BTBG.DE^H03,DE0005235402,4295869847,Xetra,Consumer Cyclicals,Retailers,True
283,Emprise AG,ERIG.DE^E11,DE0005710503,4295869866,Xetra,Technology,Software & IT Services,True
284,TTL Beteiligungs und Grundbesitz AG,TTOG.DE^E11,DE0007501009,4295869860,Xetra,Real Estate,Real Estate,True
285,Vtc Beteiligungen AG,IHUG.DE^K04,DE0006138605,4295869873,Xetra,Financials,Collective Investments,True
286,Mosaic Software AG,MSWG.DE^C09,DE0007100208,4295869852,Xetra,Technology,Software & IT Services,True
287,Arrow ECS GmbH,CPXG.DE^I09,DE0005448807,4295869844,Xetra,Technology,Software & IT Services,True
288,Wwl Internet AG,WWIG.DE^K04,DE0007830101,4295869865,Xetra,Technology,Software & IT Services,True
289,Teamwork Information Management AG,TWKG.DE^D09,DE0007241614,4295869878,Xetra,Technology,Software & IT Services,True
290,Loewe AG,LOEKk.DE^F14,DE000A1X3W34,4295869888,Xetra,Technology,Technology Equipment,True
291,Mania Technologie AG,MNIG.DE^E11,DE0006620701,5037368164,Xetra,Industrials,Industrial & Commercial Services,True
292,Gigabell AG,GGBG.DE^B01,DE0006251705,4295869872,Xetra,Technology,Software & IT Services,True
293,Advanced Inflight Alliance AG,DVNG.DE^J03,DE0005093009,4295869884,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
294,Schnigge Wertpapierhandelsbank AG,SHBG.DE^J03,DE0005236400,4295869890,Xetra,Financials,Banking & Investment Services,True
295,Das Werk AG,DWEG.DE^J04,DE0005412001,4295869882,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
296,Synaxon AG,PCSG.DE^E11,DE0006873805,4295869879,Xetra,Consumer Cyclicals,Retailers,True
297,Bucher Automation AG,JTTG.DE^D14,DE0006264005,4295869883,Xetra,Industrials,Industrial Goods,True
298,HBAG Real Estate AG,HREG.F^J02,DE0006337009,4295868890,Frankfurt Stock Exchange,Real Estate,Real Estate,True
299,Private Value AG,BLNG.F^J11,DE0005084701,4295869868,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
300,Surteco Group SE,SURG.DE,DE0005176903,4295868829,Xetra,Consumer Cyclicals,Cyclical Consumer Products,False
301,NorCom Information Technology GmbH & Co KgaA,NC5Ak.DE,DE000A12UP37,4295869891,Xetra,Technology,Software & IT Services,False
302,Koenig & Bauer AG,SKBG.DE,DE0007193500,4295868767,Xetra,Industrials,Industrial Goods,False
303,GfK GmbH,GFKG.DE^J17,DE0005875306,4295869903,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
304,Msh International Service AG,MXSG.F^J02,DE0006632508,4295869864,Frankfurt Stock Exchange,Technology,Software & IT Services,True
305,Cash Medien AG,MFCG.F^J15,DE0005251904,4295869892,Frankfurt Stock Exchange,Industrials,Industrial & Commercial Services,True
306,Pixelpark AG,PXLGk.DE^A15,DE000A1KRMK3,4295869900,Xetra,Technology,Software & IT Services,True
307,GEDYS Internet Products AG,GED.DE^E11,DE0005273007,4295869885,Xetra,Technology,Software & IT Services,True
308,Fineco Verwaltung AG,EDBG.DE^H03,DE0008026907,4295869856,Xetra,Financials,Banking & Investment Services,True
309,Elmos Semiconductor SE,ELGG.DE,DE0005677108,4295869918,Xetra,Technology,Technology Equipment,False
310,Systematics AG,YYSG.DE^J02,DE0007276800,4295869893,Xetra,Technology,Software & IT Services,True
311,Constantin Film AG,CFAG.DE^J09,DE0005800809,4295869881,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
312,Helkon Media AG,HEKG.DE^K09,DE0006080500,4295869923,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
313,Splendid Medien AG,SPME.DE^L24,DE0007279507,4295869887,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
314,WaveLight GmbH,WLTG.DE^J09,DE0005125603,5000954029,Xetra,Industrials,Industrial Goods,True
315,Procon MultiMedia AG,PMMG.DE^A12,DE0005122006,4295869877,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
316,mybet Holding SE,XMYG.DE^A19,DE000A2LQ009,5064596043,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
317,Sunburst Merchandising AG,SUPG.F^E12,DE0007201501,4295869897,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
318,Takkt AG,TTKG.DE,DE0007446007,4295869916,Xetra,Technology,Technology Equipment,False
319,7days Music Entertainment AG,7DMEG.DE^E14,DE000A1EWXW8,4295869905,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
320,Cancom SE,COKG.DE,DE0005419105,5038907473,Xetra,Technology,Software & IT Services,False
321,WCM Beteiligungs und Grundbesitz AG,WCMG.DE^E11,DE000A1X3X33,4295868822,Xetra,Real Estate,Real Estate,True
322,Lipro AG Logistik Und Information Fuer,LPRG.DE^J06,DE0005212609,4295869927,Xetra,Technology,Software & IT Services,True
323,Open Text Software GmbH (Pre-Reincorporation),GSOGa.DE^G04,DE0005532907,5000053024,Xetra,,,True
324,WCM Beteiligungs und Grundbesitz AG,WCAGe.DE^J99,DE000A1X3X33,4295868822,Xetra,Real Estate,Real Estate,True
325,Xylem Water Solutions Herford GmbH,WDOG.DE^G05,DE0005141808,5034750230,Xetra,Industrials,Industrial Goods,True
326,Tiscon AG,TISG.DE^E11,DE000A409732,4295869907,Xetra,Consumer Cyclicals,Retailers,True
327,Elektra Beckum AG,FBEGa.DE^J99,DE0005667299,4295870115,Xetra,Industrials,Industrial Goods,True
328,Celanese GmbH,CZZG.DE^A07,DE0005753008,4295869919,Xetra,Basic Materials,Chemicals,True
329,Deutsche Real Estate AG,DREGa.F,DE0008055021,4295869384,Frankfurt Stock Exchange,Real Estate,Real Estate,False
330,TDK Electronics AG,EPCGn.DE^J09,DE0005128003,4295869936,Xetra,Technology,Technology Equipment,True
331,Readcrest Capital AG,BMQGk.DE^E11,DE000A0LE3J1,4295869904,Xetra,Industrials,Industrial & Commercial Services,True
332,Cybio AG,CQJG.DE^G11,DE0005412308,4295869960,Xetra,Healthcare,Healthcare Services & Equipment,True
333,Sai Automotive AG,SAIGe.F^B00,DE0005009013,5000766212,Frankfurt Stock Exchange,Consumer Cyclicals,Automobiles & Auto Parts,True
334,Ciber AG,NOVG.DE^H06,DE0006778905,4295869950,Xetra,Technology,Software & IT Services,True
335,DAB Bank AG,DRNG.DE^G15,DE0005072300,4295869963,Xetra,Financials,Banking & Investment Services,True
336,Tomorrow Internet AG,TOQG.DE^A02,DE0005414601,4295869959,Xetra,Technology,Software & IT Services,True
337,buch.de internetstores GmbH,BUEG.DE^E14,DE0005204606,5044171592,Xetra,Technology,Software & IT Services,True
338,Brainpool Tv AG,BTVG.F^H02,DE0005188908,4295869957,Frankfurt Stock Exchange,Consumer Cyclicals,Cyclical Consumer Services,True
339,condomi AG,CAGG.DE^A11,DE0005444905,4295869955,Xetra,Consumer Non-Cyclicals,Personal & Household Products & Services,True
340,Elsa Vermoegens und Beteiligungs AG,RDGG.DE^J04,DE000A0V9KH4,4295869958,Xetra,Financials,Investment Holding Companies,True
341,secunet Security Networks AG,YSNG.DE,DE0007276503,4295869924,Xetra,Technology,Software & IT Services,False
342,Dmg Mori AG,GILG.DE,DE0005878003,4295869592,Xetra,Industrials,Industrial Goods,False
343,Panamax New Energy AG,PDEG.DE^E11,DE000A1R1C81,5057938860,Xetra,Financials,Investment Holding Companies,True
344,Evotec SE,EVTG.DE,DE0005664809,5068477440,Xetra,Healthcare,Pharmaceuticals & Medical Research,False
345,Clere AG,CAGGk.DE^F17,DE000A3H2309,5056415212,Xetra,Utilities,Utilities,True
346,SinnerSchrader AG,SZZG.DE^H19,DE0005141907,4295869901,Xetra,Technology,Software & IT Services,True
347,Phenomedia AG,PNMG.DE^F05,DE0005414908,5000729984,Xetra,Technology,Software & IT Services,True
348,3U Holding AG,UUUG.DE,DE0005167902,4295869969,Xetra,Consumer Cyclicals,Retailers,False
349,Baeurer AG,BEUG.DE^H04,DE0005530703,4295869961,Xetra,Technology,Software & IT Services,True
350,Sai Automotive AG,SAIG.F^G04,DE0005009005,5000766212,Frankfurt Stock Exchange,Consumer Cyclicals,Automobiles & Auto Parts,True
351,burgbad AG,BUBG_p.DE^F05,DE0005302137,4295869194,Xetra,Consumer Cyclicals,Cyclical Consumer Products,True
352,Freenet.De Ag,FRNG.DE^C07,DE0005792006,4295869271,Xetra,Technology,Telecommunications Services,True
353,Gesellschaft fuer Network Training AG GfN AG,GFNG.DE^J05,DE0002457652,5001011533,Xetra,Financials,Collective Investments,True
354,Elephant Seven AG,EPHG.DE^J07,DE0005138200,4295869908,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
355,Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,MUVG.DE^K99,DE0008430000,4295868986,Xetra,Financials,Insurance,True
356,Acordis GmbH,GLAG.F^K99,DE0007622003,4295869551,Frankfurt Stock Exchange,Financials,Collective Investments,True
357,ADS System GmbH,AYGG.DE^H06,DE0005147805,5001564231,Xetra,Industrials,Industrial & Commercial Services,True
358,Lahmeyer AG,LMYG.DE^B00,DE0006056302,4295869613,Xetra,Utilities,Utilities,True
359,Internolix AG,ITXG.DE^D11,DE0006227309,4295870116,Xetra,Technology,Technology Equipment,True
360,Rohwedder AG,RWDG.DE^L10,DE0007057705,4295870113,Xetra,Industrials,Industrial Goods,True
361,Friedrich Grohe AG,GROG_p.DE^C00,DE0005900435,4295870102,Xetra,Consumer Cyclicals,Cyclical Consumer Products,True
362,Bechtle AG,BC8G.DE,DE0005158703,4295870093,Xetra,Technology,Software & IT Services,False
363,Abwicklungsgesellschaft Roesch Medizintechnik AG,RSBG.DE^E11,DE0005291405,4295870060,Xetra,Healthcare,Healthcare Services & Equipment,True
364,Msg Life ag,MSGL.DE^C17,DE0005130108,4295870048,Xetra,Technology,Software & IT Services,True
365,USU Ventures AG,OSPG.DE^H04,DE0007804700,4295870074,Xetra,Financials,Investment Holding Companies,True
366,DCI Database for Commerce and Industry AG,DCIG.DE^E11,DE000A11QU11,4295870052,Xetra,Technology,Software & IT Services,True
367,Concept AG,CUKG.DE^J02,DE0005287809,4295870091,Xetra,Technology,Software & IT Services,True
368,Infor Deutschland GmbH (Pre-Reincorporation),MIXG.DE^A06,DE0006612401,5000633951,Xetra,Technology,Software & IT Services,True
369,Aligna AG,PSTG.DE^A12,DE0005471809,4295870065,Xetra,Healthcare,Pharmaceuticals & Medical Research,True
370,TV Loonland AG,TVLG.DE^L12,DE0005348403,4295870112,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
371,Techem GmbH,TNHG.DE^C09,DE0005471601,5000434905,Xetra,Real Estate,Real Estate,True
372,Infineon Technologies AG,IFXGn.DE,DE0006231004,4295870063,Xetra,Technology,Technology Equipment,False
373,Yellowfin Asset Management GmbH,ONVG.DE^E11,DE0005461602,5083657814,Xetra,Financials,Banking & Investment Services,True
374,Ipc Archtec AG,AL8G.DE^K08,DE0005252803,4295870057,Xetra,Consumer Cyclicals,Retailers,True
375,Path2 Hydrogen AG,HBDGk.DE^E11,DE000A1A6WB2,5059956752,Xetra,Technology,Financial Technology (Fintech) & Infrastructure,True
376,PopNet Internet AG,PNZG.DE^A10,DE0006228109,4295870053,Xetra,Technology,Software & IT Services,True
377,Arndt Automobile GmbH,AHZG.F^L12,DE0005269104,4295870075,Frankfurt Stock Exchange,Industrials,Transportation,True
378,118000 AG,Z18G.DE^D13,DE0006911902,4295870055,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
379,Softline GmbH,SFDGk.DE^A24,DE000A2DAN10,5034846155,Xetra,Technology,Software & IT Services,True
380,ISION Internet AG,IOIG.F^I15,DE0006112006,4295870067,Frankfurt Stock Exchange,Technology,Software & IT Services,True
381,Swing! Entertainment Media AG,SGVG.DE^J08,DE0005474407,4295870034,Xetra,Technology,Software & IT Services,True
382,CANCOM Managed Services GmbH,PNGG.DE^C15,DE0006916406,5072798759,Xetra,Technology,Software & IT Services,True
383,Datasave Informationssysteme AG,DSVG.DE^B06,DE0005519508,4295870058,Xetra,Technology,Software & IT Services,True
384,Atevia GmbH,CMBGn.DE^J12,DE000CMBT111,4295870044,Xetra,Technology,Software & IT Services,True
385,m s Elektronik AG,MUSG.DE^E11,DE0006617400,4295870070,Xetra,Technology,Software & IT Services,True
386,Pro DV AG,PDAG.DE^L08,DE000A4096T1,4295870096,Xetra,Technology,Software & IT Services,True
387,Trius AG,TUSG.DE^J06,DE0005270300,4295870054,Xetra,Financials,Collective Investments,True
388,Greenwich Beteiligungen AG,PEBk.F^H17,DE000A2BPL17,4295869408,Frankfurt Stock Exchange,Financials,Banking & Investment Services,True
389,German Values Property Group GmbH,TVDGk.DE^E11,DE000A0L1NQ8,5000631757,Xetra,Real Estate,Real Estate,True
390,net SE,NETGnk.DE^I09,DE000A1682B9,5001223910,Xetra,Technology,Software & IT Services,True
391,BIODATA Information Technology AG,BITG.DE^E11,DE0005422703,4295870037,Xetra,Technology,Technology Equipment,True
392,Abit GmbH (Pre-Merger),ABIG.DE^H06,DE0005122501,5001426716,Xetra,Technology,Software & IT Services,True
393,Aditron AG,AHGGn.F^G03,DE0007035107,4295868752,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
394,Rational AG,RAAG.DE,DE0007010803,4295870111,Xetra,Consumer Cyclicals,Cyclical Consumer Products,False
395,BKN International AG,BKQG.DE^E11,DE0005290704,4295870071,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
396,TelesensKSCL AG,TLZG.DE^C04,DE0005299705,4295870083,Xetra,Technology,Software & IT Services,True
397,ATOSS Software SE,AOFG.DE,DE0005104400,4295870078,Xetra,Technology,Software & IT Services,False
398,Carl Zeiss Meditec AG,AFXG.DE,DE0005313704,4295870081,Xetra,Healthcare,Healthcare Services & Equipment,False
399,CTS Eventim AG & Co KgaA,EVDG.DE,DE0005470306,5043318232,Xetra,Technology,Software & IT Services,False
400,MVV Energie AG,MVVGe.DE^B00,DE0007255911,4295869756,Xetra,Utilities,Utilities,True
401,MVV Energie AG,MVVGn.DE,DE000A0H52F5,4295869756,Xetra,Utilities,Utilities,False
402,Sixt SE,SIXG_p.DE,DE0007231334,5040208467,Xetra,Industrials,Transportation,False
403,Sixt AG,SIXGga.F^F00,DE0007231417,4295869599,Frankfurt Stock Exchange,Industrials,Transportation,True
404,Isra Vision AG (Pre-Merger),ISRG.DE^E21,DE0005488100,4295870122,Xetra,Technology,Software & IT Services,True
405,Grenke AG,GLJn.DE,DE000A161N30,4295870117,Xetra,Financials,Banking & Investment Services,False
406,Cycos AG,YOSG.DE^E11,DE0007700205,4295870120,Xetra,Technology,Software & IT Services,True
407,QBeyond AG,QBY0k.DE,DE000A41YDG0,4295870153,Xetra,Technology,Software & IT Services,False
408,Kontron AG,KBCG.DE^H17,DE0006053952,4295870211,Xetra,Technology,Technology Equipment,True
409,CDV Software Entertainment AG,OGGGk.DE^E11,DE000A0MF053,4295870121,Xetra,Technology,Software & IT Services,True
410,Jobpilot AG,JOAG.DE^J02,DE0005141709,4295870114,Xetra,Industrials,Industrial & Commercial Services,True
411,T Online International AG,TOIGn.DE^G06,DE0005557706,4295870119,Xetra,Technology,Software & IT Services,True
412,DocCheck AG,ANWGn.DE^E11,DE000A1A6WE6,4295870126,Xetra,Healthcare,Healthcare Services & Equipment,True
413,November AG,NBXGk.DE^I13,DE000A0Z24E9,5001230472,Xetra,Healthcare,Pharmaceuticals & Medical Research,True
414,Cargolifter AG,CGLGn.DE^E11,DE0005402614,5000088067,Xetra,Industrials,Transportation,True
415,Comparex AG,PCWG.DE^A11,DE0006910904,4295869875,Xetra,Technology,Software & IT Services,True
416,GBS Software AG,INWk.DE,DE000A3MQR99,5000002714,Xetra,Technology,Software & IT Services,False
417,Energiekontor AG,EKTG.DE^E11,DE0005313506,4295870139,Xetra,Utilities,Utilities,True
418,Eichborn AG,EIHG.DE^E11,DE0005183701,4295870132,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
419,Softing AG,SYTG.DE,DE0005178008,4295870123,Xetra,Technology,Technology Equipment,False
420,Netrada Holding GmbH,DSJG.DE^F10,DE0005336804,5035158227,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
421,Kennametal Hertel AG,HEFG.F^D00,DE0006053804,4295869597,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
422,Adori AG,ADJG.DE^K07,DE0006655103,4295870146,Xetra,Technology,Software & IT Services,True
423,IM Internationalmedia AG,IEMGk.DE^F13,DE000A0STYJ1,4295870135,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
424,United Labels AG,ULCG.DE,DE0005489561,4295870137,Xetra,Consumer Cyclicals,Retailers,False
425,Turbon AG,TURG.DE^E11,DE0007504508,4295869424,Xetra,Technology,Technology Equipment,True
426,Ruecker AG,RUKG.DE^J13,DE0007041105,4295870129,Xetra,Industrials,Industrial & Commercial Services,True
427,Sedo Holding AG,SDOGn.DE^C14,DE0005490155,5035520321,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
428,Kennametal Hertel AG,HEFG_p.F^H00,DE0006053838,4295869597,Frankfurt Stock Exchange,Industrials,Industrial Goods,True
429,Arbomedia GmbH,RBXG.DE^E11,DE0005489306,5037431327,Xetra,Consumer Cyclicals,Cyclical Consumer Services,True
430,Girindus AG iL,GIRG.DE^H14,DE0005880405,5001218497,Xetra,Healthcare,Pharmaceuticals & Medical Research,True
431,Broadnet AG,MSCG.DE^K07,DE0005490866,4295870141,Xetra,Technology,Software & IT Services,True
432,VIAG AG,VIAG.DE^F00,DE0007626202,4295869222,Xetra,Utilities,Utilities,True
